what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1244180134624
closed,view,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.internal.introview,1244180134655
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.project.buildAutomatically,1244180140327
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244180147530
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244180192218
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1244180192218
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244180193358
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244180254187
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244180260483
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244180287452
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1244180287468
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.refresh,1244180293968
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244180297312
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244180302374
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244180303452
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244180311780
opened,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1244180312608
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1244180312640
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.edit.text.openLocalFile,1244180312655
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1244180316093
closed,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1244180316093
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244180316937
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244180320780
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244180334624
stopped,bundle,de.innot.avreclipse.core,2.3.1.20081204PRD,de.innot.avreclipse.core,1244180334780
